condition,transform,param,n,accuracy,precision,recall,f1,roc_auc,source,n_fake,n_real
clean,clean,,1040,0.8884615384615384,0.2564102564102564,1.0,0.40816326530612246,0.999925,afhq,40,1000
clean,clean,,1040,0.8865384615384615,0.24675324675324675,0.95,0.3917525773195876,0.978575,big_gan,40,1000
clean,clean,,1040,0.8884615384615384,0.2564102564102564,1.0,0.40816326530612246,0.99895,cips,40,1000
clean,clean,,1040,0.8692307692307693,0.14705882352941177,0.5,0.22727272727272727,0.84625,ddpm,40,1000
clean,clean,,1040,0.8807692307692307,0.21621621621621623,0.8,0.3404255319148936,0.92685,denoising_diffusion_gan,40,1000
clean,clean,,1040,0.8884615384615384,0.2564102564102564,1.0,0.40816326530612246,0.9985999999999999,diffusion_gan,40,1000
clean,clean,,1040,0.8884615384615384,0.2564102564102564,1.0,0.40816326530612246,0.994675,face_synthetics,40,1000
clean,clean,,1040,0.8778846153846154,0.2,0.725,0.31351351351351353,0.9210999999999998,gansformer,40,1000
clean,clean,,1040,0.8769230769230769,0.19444444444444445,0.7,0.30434782608695654,0.9173749999999999,gau_gan,40,1000
clean,clean,,1040,0.8625,0.10077519379844961,0.325,0.15384615384615385,0.7574500000000001,generative_inpainting,40,1000
clean,clean,,1040,0.8692307692307693,0.14705882352941177,0.5,0.22727272727272727,0.8712,glide,40,1000
clean,clean,,1040,0.8817307692307692,0.2214765100671141,0.825,0.3492063492063492,0.93035,lama,40,1000
clean,clean,,1040,0.8788461538461538,0.2054794520547945,0.75,0.3225806451612903,0.907525,latent_diffusion,40,1000
clean,clean,,1040,0.8826923076923077,0.22666666666666666,0.85,0.35789473684210527,0.9465499999999999,mat,40,1000
clean,clean,,1040,0.8875,0.25161290322580643,0.975,0.4,0.9764999999999999,palette,40,1000
clean,clean,,1040,0.8865384615384615,0.24675324675324675,0.95,0.3917525773195876,0.9761250000000001,pro_gan,40,1000
clean,clean,,1040,0.8865384615384615,0.24675324675324675,0.95,0.3917525773195876,0.983125,projected_gan,40,1000
clean,clean,,1040,0.885576923076923,0.24183006535947713,0.925,0.38341968911917096,0.96675,sfhq,40,1000
clean,clean,,1040,0.8884615384615384,0.2564102564102564,1.0,0.40816326530612246,0.9958,stable_diffusion,40,1000
clean,clean,,1040,0.8884615384615384,0.2564102564102564,1.0,0.40816326530612246,0.99805,star_gan,40,1000
clean,clean,,1040,0.8663461538461539,0.12781954887218044,0.425,0.19653179190751446,0.812125,stylegan1,40,1000
clean,clean,,1040,0.8884615384615384,0.2564102564102564,1.0,0.40816326530612246,0.997325,stylegan2,40,1000
clean,clean,,1040,0.8884615384615384,0.2564102564102564,1.0,0.40816326530612246,0.999775,stylegan3,40,1000
clean,clean,,1040,0.8865384615384615,0.24675324675324675,0.95,0.3917525773195876,0.962825,taming_transformer,40,1000
clean,clean,,1040,0.885576923076923,0.24183006535947713,0.925,0.38341968911917096,0.97355,vq_diffusion,40,1000
