condition,transform,param,n,accuracy,precision,recall,f1,roc_auc
clean,clean,,2000,0.8515,0.8696109358569927,0.827,0.8477703741670938,0.9419089999999999
jpeg_compression_90,jpeg_compression,90,2000,0.8535,0.8717139852786541,0.829,0.849820604818042,0.941359
jpeg_compression_70,jpeg_compression,70,2000,0.855,0.865979381443299,0.84,0.8527918781725888,0.938207
jpeg_compression_50,jpeg_compression,50,2000,0.853,0.8522954091816367,0.854,0.8531468531468531,0.9378179999999998
jpeg_compression_30,jpeg_compression,30,2000,0.8435,0.8390918065153011,0.85,0.8445106805762543,0.9334339999999999
gaussian_blur_0.5,gaussian_blur,0.5,2000,0.8555,0.8738170347003155,0.831,0.8518708354689902,0.942423
gaussian_blur_1.0,gaussian_blur,1.0,2000,0.851,0.8581632653061224,0.841,0.8494949494949495,0.9412105000000001
gaussian_blur_2.0,gaussian_blur,2.0,2000,0.844,0.8202979515828678,0.881,0.849566055930569,0.9312750000000001
resize_0.5,resize,0.5,2000,0.8535,0.8588832487309644,0.846,0.8523929471032745,0.9411640000000001
resize_0.25,resize,0.25,2000,0.843,0.8118181818181818,0.893,0.8504761904761905,0.932485
gaussian_noise_0.02,gaussian_noise,0.02,2000,0.854,0.86875,0.834,0.8510204081632653,0.937479
gaussian_noise_0.05,gaussian_noise,0.05,2000,0.8405,0.8557993730407524,0.819,0.8369954011241697,0.9313820000000002
gaussian_noise_0.1,gaussian_noise,0.1,2000,0.832,0.8394683026584867,0.821,0.8301314459049545,0.9239925
color_jitter,color_jitter,,2000,0.8525,0.8714436248682824,0.827,0.8486403283735249,0.9405640000000001
center_crop,center_crop,,2000,0.8425,0.816836262719704,0.883,0.8486304661220567,0.93159
